node1,node2
KA_Chamarajanagara,KA_Mysuru
KA_Chamarajanagara,TN_Krishnagiri
KA_Chamarajanagara,KA_Ramanagara
KA_Chamarajanagara,KA_Mandya
KA_Chamarajanagara,TN_Salem
KA_Chamarajanagara,TN_Salem
KA_Chamarajanagara,TN_Dharmapuri
WB_Jalpaiguri,WB_Darjeeling
WB_Jalpaiguri,WB_Kalimpong
WB_Jalpaiguri,WB_Alipurduar
WB_Jalpaiguri,WB_Cooch Behar
WB_Darjeeling,WB_Uttar Dinajpur
WB_Darjeeling,WB_Kalimpong
WB_Darjeeling,BR_Kishanganj
WB_Darjeeling,SK_Sikkim
WB_Alipurduar,WB_Cooch Behar
WB_Kalimpong,SK_Sikkim
BR_Madhubani,BR_Saharsa
BR_Madhubani,BR_Sitamarhi
BR_Madhubani,BR_Supaul
BR_Madhubani,BR_Darbhanga
BR_Saharsa,BR_Khagaria
BR_Saharsa,BR_Supaul
BR_Saharsa,BR_Darbhanga
BR_Saharsa,BR_Samastipur
BR_Saharsa,BR_Madhepura
BR_Darbhanga,BR_Muzaffarpur
BR_Darbhanga,BR_Samastipur
BR_Darbhanga,BR_Sitamarhi
BR_Supaul,BR_Madhepura
BR_Supaul,BR_Araria
BR_Sitamarhi,BR_Sheohar
BR_Sitamarhi,BR_Muzaffarpur
BR_Sitamarhi,BR_East Champaran
BR_Madhepura,BR_Khagaria
BR_Madhepura,BR_Bhagalpur
BR_Madhepura,BR_Purnia
BR_Madhepura,BR_Araria
BR_Khagaria,BR_Munger
BR_Khagaria,BR_Begusarai
BR_Khagaria,BR_Samastipur
BR_Khagaria,BR_Bhagalpur
BR_Samastipur,BR_Muzaffarpur
BR_Samastipur,BR_Vaishali
BR_Samastipur,BR_Begusarai
BR_Samastipur,BR_Patna
BR_Muzaffarpur,BR_Sheohar
BR_Muzaffarpur,BR_Gopalganj
BR_Muzaffarpur,BR_Vaishali
BR_Muzaffarpur,BR_East Champaran
BR_Muzaffarpur,BR_Saran
BR_Araria,BR_Purnia
BR_Araria,BR_Kishanganj
BR_East Champaran,BR_West Champaran
BR_East Champaran,BR_Gopalganj
BR_East Champaran,BR_Sheohar
BR_Gopalganj,BR_Saran
BR_Gopalganj,BR_Siwan
BR_Gopalganj,BR_West Champaran
BR_Gopalganj,UP_Kushinagar
BR_Gopalganj,UP_Deoria
JK_Anantnag,JK_Ramban
JK_Anantnag,JK_Ganderbal
JK_Anantnag,JK_Shopiyan
JK_Anantnag,JK_Pulwama
JK_Anantnag,JK_Kulgam
JK_Anantnag,JK_Srinagar
JK_Bandipora,JK_Kupwara
JK_Bandipora,JK_Baramulla
JK_Bandipora,JK_Ganderbal
JK_Bandipora,JK_Srinagar
JK_Ganderbal,JK_Srinagar
WB_Dakshin Dinajpur,WB_Malda
WB_Dakshin Dinajpur,WB_Uttar Dinajpur
WB_Uttar Dinajpur,WB_Malda
WB_Uttar Dinajpur,BR_Katihar
WB_Uttar Dinajpur,BR_Purnia
WB_Uttar Dinajpur,BR_Kishanganj
WB_Malda,WB_Murshidabad
WB_Malda,BR_Katihar
WB_Malda,JH_Sahibganj
BR_Kishanganj,BR_Purnia
BR_Purnia,BR_Katihar
BR_Purnia,BR_Bhagalpur
BR_Katihar,BR_Bhagalpur
BR_Katihar,JH_Sahibganj
AS_Udalguri,AR_West Kameng
ML_Ribhoi,ML_East Khasi Hills
ML_Ribhoi,ML_West Khasi Hills
ML_Ribhoi,ML_West Jaintia Hills
ML_West Khasi Hills,ML_North Garo Hills
ML_West Khasi Hills,ML_South West Khasi Hills
ML_West Khasi Hills,ML_South Garo Hills
ML_West Khasi Hills,ML_East Khasi Hills
ML_West Khasi Hills,ML_East Garo Hills
ML_North Garo Hills,ML_West Garo Hills
ML_North Garo Hills,ML_East Garo Hills
WB_Murshidabad,WB_Purba Bardhaman
WB_Murshidabad,JH_Pakur
WB_Murshidabad,JH_Sahibganj
WB_Murshidabad,WB_Nadia
JH_Sahibganj,BR_Bhagalpur
JH_Sahibganj,JH_Pakur
JH_Sahibganj,JH_Godda
BR_Bhagalpur,JH_Godda
BR_Bhagalpur,BR_Munger
BR_Bhagalpur,BR_Banka
RJ_Barmer,RJ_Pali
RJ_Barmer,RJ_Jaisalmer
RJ_Barmer,RJ_Jodhpur
RJ_Barmer,GJ_Kutch
RJ_Barmer,RJ_Jalore
RJ_Jalore,RJ_Pali
RJ_Jalore,GJ_Banaskantha
RJ_Jalore,RJ_Sirohi
RJ_Jalore,GJ_Kutch
RJ_Jodhpur,RJ_Pali
RJ_Jodhpur,RJ_Jaisalmer
RJ_Jodhpur,RJ_Nagaur
RJ_Jodhpur,RJ_Bikaner
RJ_Pali,RJ_Rajsamand
RJ_Pali,RJ_Udaipur
RJ_Pali,RJ_Ajmer
RJ_Pali,RJ_Nagaur
RJ_Pali,RJ_Sirohi
RJ_Jaisalmer,RJ_Bikaner
GJ_Kutch,GJ_Banaskantha
GJ_Kutch,GJ_Patan
GJ_Kutch,GJ_Surendranagar
GJ_Kutch,GJ_Morbi
RJ_Sirohi,GJ_Banaskantha
RJ_Sirohi,RJ_Udaipur
RJ_Sirohi,GJ_Sabarkantha
GJ_Banaskantha,GJ_Patan
GJ_Banaskantha,GJ_Sabarkantha
GJ_Banaskantha,GJ_Mehsana
RJ_Bikaner,RJ_Churu
RJ_Bikaner,RJ_Nagaur
RJ_Bikaner,RJ_Ganganagar
RJ_Bikaner,RJ_Hanumangarh
RJ_Nagaur,RJ_Churu
RJ_Nagaur,RJ_Jaipur
RJ_Nagaur,RJ_Jaipur
RJ_Nagaur,RJ_Ajmer
RJ_Nagaur,RJ_Sikar
RJ_Ajmer,RJ_Rajsamand
RJ_Ajmer,RJ_Jaipur
