stateid,weekid,dose1,dose2
KA,11,1116446,42704
KA,12,1530544,81988
KA,13,947057,175364
KA,14,989996,410957
KA,15,739375,444730
KA,16,398587,421364
KA,17,350127,477435
KA,18,480735,119400
KA,19,1217660,104379
KA,20,1580584,141383
KA,21,1678867,144767
KA,22,1320335,208824
KA,23,2883750,317149
KA,24,1512669,504248
KA,25,1252304,627216
KA,26,1097069,595421
KA,27,934464,642256
KA,28,956340,626938
KA,29,1626937,766505
KA,30,1193412,541653
KL,1,21944,0
KL,2,112281,0
KL,3,137506,0
KL,4,66436,0
KL,5,68561,38833
KL,6,82385,65387
KL,7,266903,82935
KL,8,286070,92459
KL,9,390816,70974
KL,10,467076,38955
KL,11,1516422,32545
KL,12,854454,70808
KL,13,887737,181061
KL,14,630273,365230
KL,15,281370,316503
KL,16,117046,409013
KL,17,239070,226940
KL,18,197415,28874
KL,19,546842,24247
KL,20,887365,112227
KL,21,885763,80716
KL,22,733169,188591
KL,23,829185,550951
KL,24,656728,624472
KL,25,381780,520910
KL,26,445090,538167
KL,27,887317,926404
KL,28,1234251,466643
KL,29,1305579,311750
KL,30,1864857,292218
LA,1,330,0
LA,2,629,0
LA,3,858,0
LA,4,1014,71
LA,5,2952,529
LA,6,3629,329
LA,7,4975,1049
LA,8,16350,926
LA,9,7582,2367
LA,10,1399,1382
LA,11,12989,228
LA,12,11811,1032
LA,13,2639,2749
LA,14,4557,14163
LA,15,3270,9633
LA,16,8048,2030
LA,17,3613,764
LA,18,8160,7
LA,19,22031,20
LA,20,23530,33
LA,21,13316,69
LA,22,8127,96
LA,23,6862,9816
LA,24,5132,11037
LA,25,7582,2400
LA,26,3585,1439
LA,27,800,1102
LA,28,1311,4375
LA,29,1345,2313
LA,30,1109,2866
LD,1,734,0
LD,2,73,0
LD,3,26,0
LD,4,742,0
LD,5,114,81
LD,6,135,26
LD,7,115,32
LD,8,1066,720
LD,9,623,628
LD,10,539,194
LD,11,1411,140
LD,12,4572,736
LD,13,4011,427
LD,14,3092,785
LD,15,1917,505
LD,16,1070,1179
LD,17,1212,1353
LD,18,1654,115
LD,19,2086,23
LD,20,6130,28
LD,21,7684,105
LD,22,5120,81
LD,23,2127,325
LD,24,831,1065
LD,25,852,2122
LD,26,1010,2340
LD,27,692,1432
LD,28,600,1529
LD,29,613,890
LD,30,827,1014
MH,1,69295,0
MH,2,164398,0
MH,3,202536,0
MH,4,216572,170
MH,5,215443,45244
MH,6,160121,113244
MH,7,296899,100919
MH,8,681065,152199
MH,9,942257,177480
